terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
22862,RECORDED,75005068,AGL,,,22862,,AGL,,,,1A2,,GE75,,1,1.161,12,S,47,0,-12.783333333333331,-0.2231112560466047,15,E,45,0,15.75,0.2748893571891022,HUAMBO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.156,1.166,22862,HJ,1,10000.0,40.0,10,A3E--,ANALOG,5.0,A,,10.4,,,65.0,500.0,2300.0
22862,RECORDED,75005068,AGL,,,22862,,AGL,,,,1A2,,GE75,,1,1.161,12,S,47,0,-12.783333333333331,-0.2231112560466047,15,E,45,0,15.75,0.2748893571891022,HUAMBO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.156,1.166,22862,HN,1,10000.0,40.0,10,A3E--,ANALOG,5.0,A,,10.4,,,65.0,500.0,2300.0
27759,RECORDED,75010010,AGL,,,27759,,AGL,,,,1A2,,GE75,,1,1.602,12,S,45,0,-12.75,-0.2225294796292732,15,E,42,0,15.7,0.2740166925631051,HUAMBO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,27759,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,0.0,2400.0
27759,RECORDED,75010010,AGL,,,27759,,AGL,,,,1A2,,GE75,,1,1.602,12,S,45,0,-12.75,-0.2225294796292732,15,E,42,0,15.7,0.2740166925631051,HUAMBO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5975,1.6065,27759,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,0.0,2400.0
26842,RECORDED,75009086,AGL,,,26842,,AGL,,,,1A2,,GE75,,1,1.575,5,S,15,0,-5.25,-0.0916297857297007,12,E,10,0,12.166666666666666,0.2123483923259731,LANDANA,,10.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.565,1.585,26842,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,50.0,0.0,2400.0
26842,RECORDED,75009086,AGL,,,26842,,AGL,,,,1A2,,GE75,,1,1.575,5,S,15,0,-5.25,-0.0916297857297007,12,E,10,0,12.166666666666666,0.2123483923259731,LANDANA,,10.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.565,1.585,26842,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,50.0,0.0,2400.0
24793,RECORDED,75007016,AGL,,,24793,,AGL,,,,1A2,,GE75,,1,1.404,12,S,23,0,-12.383333333333333,-0.2161299390386274,13,E,33,0,13.55,0.2364921136452276,LOBITO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.399,1.4089999999999998,24793,HJ,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,54.0,600.0,2300.0
24793,RECORDED,75007016,AGL,,,24793,,AGL,,,,1A2,,GE75,,1,1.404,12,S,23,0,-12.383333333333333,-0.2161299390386274,13,E,33,0,13.55,0.2364921136452276,LOBITO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.399,1.4089999999999998,24793,HN,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,54.0,600.0,2300.0
26792,RECORDED,75009034,AGL,,,26792,,AGL,,,,1A2,,GE75,,1,1.566,12,S,22,0,-12.366666666666667,-0.2158390508299617,13,E,53,0,13.883333333333333,0.242309877818542,LOBITO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.556,1.576,26792,HJ,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,,0.4,,,48.0,0.0,2400.0
26792,RECORDED,75009034,AGL,,,26792,,AGL,,,,1A2,,GE75,,1,1.566,12,S,22,0,-12.366666666666667,-0.2158390508299617,13,E,53,0,13.883333333333333,0.242309877818542,LOBITO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.556,1.576,26792,HN,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,,0.4,,,48.0,0.0,2400.0
