terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
4362,RECORDED,80020272,IND,,A,AGRA,,IND,,1989-06-15 00:00:00,1989-07-05 00:00:00,1A2,,NTFD_RR,RR11.2,3,1.53,27,N,7,0,27.116666666666667,0.473275115499121,78,E,3,0,78.05,1.3622294811815512,AGRA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-22 00:00:00,1.52,1.54,4362,HJ,1,10000.0,40.0,20,A3E--,ANALOG,,A,0.0,10.6,,,75.0,0.0,2400.0,120
4362,RECORDED,80020272,IND,,A,AGRA,,IND,,1989-06-15 00:00:00,1989-07-05 00:00:00,1A2,,NTFD_RR,RR11.2,3,1.53,27,N,7,0,27.116666666666667,0.473275115499121,78,E,3,0,78.05,1.3622294811815512,AGRA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-22 00:00:00,1.52,1.54,4362,HN,1,10000.0,40.0,20,A3E--,ANALOG,,A,0.0,10.6,,,75.0,0.0,2400.0,120
25639,RECORDED,75007878,IND,,,25639,,IND,,,,1A2,,GE75,,3,1.485,27,N,10,0,27.166666666666668,0.4741477801251182,78,E,5,0,78.08333333333333,1.3628112575988824,AGRA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.475,1.495,25639,HJ,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,0.0,0.0,1.0,30.0,100.0,0.0,2400.0,120
25639,RECORDED,75007878,IND,,,25639,,IND,,,,1A2,,GE75,,3,1.485,27,N,10,0,27.166666666666668,0.4741477801251182,78,E,5,0,78.08333333333333,1.3628112575988824,AGRA,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.475,1.495,25639,HN,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,0.0,0.0,1.0,30.0,100.0,0.0,2400.0,120
26543,RECORDED,75008784,IND,,,26543,,IND,,,1999-01-14 00:00:00,1A2,,GE75,,3,1.53,27,N,7,0,27.116666666666667,0.473275115499121,78,E,3,0,78.05,1.3622294811815512,AGRA,,10.0,,,A,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1995-11-24 00:00:00,1.52,1.54,26543,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,0.0,13.6,,,75.0,300.0,1000.0,120
26543,RECORDED,75008784,IND,,,26543,,IND,,,1999-01-14 00:00:00,1A2,,GE75,,3,1.53,27,N,7,0,27.116666666666667,0.473275115499121,78,E,3,0,78.05,1.3622294811815512,AGRA,,10.0,,,A,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1995-11-24 00:00:00,1.52,1.54,26543,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,0.0,10.6,,,75.0,1000.0,300.0,120
3775,RECORDED,80019501,IND,,A,AHMEDABAD,,IND,,1978-11-23 00:00:00,1985-11-05 00:00:00,1A2,,NTFD_RR,RR11.2,3,1.44,23,N,2,0,23.03333333333333,0.4020075043760204,72,E,38,0,72.63333333333334,1.2676908133651934,AHMEDABAD,,10.0,,,A,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1978-11-29 00:00:00,1.43,1.45,3775,HJ,1,1000.0,30.0,20,A3E--,ANALOG,,A,0.0,2.1,,,110.0,0.0,2400.0,120
3775,RECORDED,80019501,IND,,A,AHMEDABAD,,IND,,1978-11-23 00:00:00,1985-11-05 00:00:00,1A2,,NTFD_RR,RR11.2,3,1.44,23,N,2,0,23.03333333333333,0.4020075043760204,72,E,38,0,72.63333333333334,1.2676908133651934,AHMEDABAD,,10.0,,,A,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1978-11-29 00:00:00,1.43,1.45,3775,HN,1,1000.0,30.0,20,A3E--,ANALOG,,A,0.0,2.1,,,110.0,0.0,2400.0,120
23754,RECORDED,75005967,IND,,,23754,,IND,,,,1A2,,GE75,,3,1.278,23,N,2,0,23.03333333333333,0.4020075043760204,72,E,38,0,72.63333333333334,1.2676908133651934,AHMEDABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.268,1.288,23754,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,0.0,15.1,,,120.0,300.0,900.0,120
25051,RECORDED,75007286,IND,,,25051,,IND,,,,1A2,,GE75,,3,1.44,23,N,2,0,23.03333333333333,0.4020075043760204,72,E,38,0,72.63333333333334,1.2676908133651934,AHMEDABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.43,1.45,25051,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,0.0,12.1,,,110.0,0.0,2400.0,120
25051,RECORDED,75007286,IND,,,25051,,IND,,,,1A2,,GE75,,3,1.44,23,N,2,0,23.03333333333333,0.4020075043760204,72,E,38,0,72.63333333333334,1.2676908133651934,AHMEDABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.43,1.45,25051,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,0.0,12.1,,,110.0,0.0,2400.0,120
25641,RECORDED,75007880,IND,,,25641,,IND,,,,1A2,,GE75,,3,1.485,23,N,2,0,23.03333333333333,0.4020075043760204,72,E,38,0,72.63333333333334,1.2676908133651934,AHMEDABAD,,10.0,,,A,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.475,1.495,25641,HJ,1,1000.0,30.0,20,A3E--,ANALOG,9.0,A,0.0,0.0,1.0,30.0,100.0,0.0,2400.0,120
