terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
24912,RECORDED,75007136,TGO,,,24912,,TGO,,,,1A2,,GE75,,1,1.413,10,N,21,0,10.35,0.18064157758141,0,E,28,0,0.4666666666666667,0.00814486984264,MANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.403,1.423,24912,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
24912,RECORDED,75007136,TGO,,,24912,,TGO,,,,1A2,,GE75,,1,1.413,10,N,21,0,10.35,0.18064157758141,0,E,28,0,0.4666666666666667,0.00814486984264,MANGO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.403,1.423,24912,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
26507,RECORDED,75008748,TGO,,,26507,,TGO,,,,1A2,,GE75,,1,1.521,9,N,37,0,9.616666666666667,0.1678424964001185,1,E,18,0,1.3,0.0226892802759259,NIAMTOUGOU,,1.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.511,1.531,26507,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
26507,RECORDED,75008748,TGO,,,26507,,TGO,,,,1A2,,GE75,,1,1.521,9,N,37,0,9.616666666666667,0.1678424964001185,1,E,18,0,1.3,0.0226892802759259,NIAMTOUGOU,,1.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.511,1.531,26507,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
27535,RECORDED,75009786,TGO,,,27535,,TGO,,,,1A2,,GE75,,1,1.584,6,N,45,0,6.75,0.1178097245096152,1,E,10,0,1.1666666666666667,0.0203621746066001,NOTSE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27535,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,500.0,2300.0
27535,RECORDED,75009786,TGO,,,27535,,TGO,,,,1A2,,GE75,,1,1.584,6,N,45,0,6.75,0.1178097245096152,1,E,10,0,1.1666666666666667,0.0203621746066001,NOTSE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.5795,1.5885,27535,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,47.0,500.0,2300.0
23778,RECORDED,75005991,TGO,,,23778,,TGO,,,,1A2,,GE75,,1,1.278,6,N,52,0,6.866666666666667,0.1198459419702752,0,E,46,0,0.7666666666666667,0.0133808575986229,PALIME,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.268,1.288,23778,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,60.0,0.0,2400.0
23778,RECORDED,75005991,TGO,,,23778,,TGO,,,,1A2,,GE75,,1,1.278,6,N,52,0,6.866666666666667,0.1198459419702752,0,E,46,0,0.7666666666666667,0.0133808575986229,PALIME,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.268,1.288,23778,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,60.0,0.0,2400.0
26030,RECORDED,75008271,TGO,,,26030,,TGO,,,,1A2,,GE75,,1,1.485,8,N,0,0,8.0,0.139626340159544,1,E,6,0,1.1,0.0191986217719373,SOTOBOUA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,26030,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,500.0,2300.0
26030,RECORDED,75008271,TGO,,,26030,,TGO,,,,1A2,,GE75,,1,1.485,8,N,0,0,8.0,0.139626340159544,1,E,6,0,1.1,0.0191986217719373,SOTOBOUA,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,26030,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,500.0,2300.0
26031,RECORDED,75008272,TGO,,,26031,,TGO,,,,1A2,,GE75,,1,1.485,6,N,32,0,6.533333333333333,0.1140281777969609,1,E,30,0,1.5,0.0261799387799145,TABLIGBO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,26031,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,500.0,2300.0
26031,RECORDED,75008272,TGO,,,26031,,TGO,,,,1A2,,GE75,,1,1.485,6,N,32,0,6.533333333333333,0.1140281777969609,1,E,30,0,1.5,0.0261799387799145,TABLIGBO,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,26031,HN,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,50.0,500.0,2300.0
24011,RECORDED,75006224,TGO,,,24011,,TGO,,,,1A2,,GE75,,1,1.305,6,N,16,0,6.266666666666667,0.1093739664583094,1,E,12,0,1.2,0.0209439510239316,TOGBLEKOPE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.295,1.315,24011,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.6,,,81.0,0.0,2400.0
24011,RECORDED,75006224,TGO,,,24011,,TGO,,,,1A2,,GE75,,1,1.305,6,N,16,0,6.266666666666667,0.1093739664583094,1,E,12,0,1.2,0.0209439510239316,TOGBLEKOPE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.295,1.315,24011,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.6,,,81.0,0.0,2400.0
24780,RECORDED,75007003,TGO,,,24780,,TGO,,,,1A2,,GE75,,1,1.395,6,N,16,0,6.266666666666667,0.1093739664583094,1,E,12,0,1.2,0.0209439510239316,TOGBLEKOPE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.385,1.405,24780,HJ,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,,15.1,,,104.0,0.0,2400.0
24780,RECORDED,75007003,TGO,,,24780,,TGO,,,,1A2,,GE75,,1,1.395,6,N,16,0,6.266666666666667,0.1093739664583094,1,E,12,0,1.2,0.0209439510239316,TOGBLEKOPE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.385,1.405,24780,HN,1,20000.0,43.0103,20,A3E--,ANALOG,9.0,A,,15.1,,,104.0,0.0,2400.0
26393,RECORDED,75008634,TGO,,,26393,,TGO,,,,1A2,,GE75,,1,1.503,9,N,33,0,9.55,0.1666789435654556,1,E,11,0,1.1833333333333331,0.0206530628152658,YADE,,1.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.493,1.513,26393,HJ,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
26393,RECORDED,75008634,TGO,,,26393,,TGO,,,,1A2,,GE75,,1,1.503,9,N,33,0,9.55,0.1666789435654556,1,E,11,0,1.1833333333333331,0.0206530628152658,YADE,,1.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.493,1.513,26393,HN,1,10000.0,40.0,20,A3E--,ANALOG,9.0,A,,10.4,,,50.0,0.0,2400.0
