terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to,antenna.hbw
3287,RECORDED,80018870,SEN,,A,3287,,SEN,,1978-11-02 00:00:00,1985-10-23 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.323,15,N,24,0,15.4,0.2687807048071222,15,W,7,0,-15.116666666666667,-0.263835605259805,LINGUERE,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.3185,1.3275,3287,HJ,1,10000.0,40.0,9,A3E--,ANALOG,,A,0.0,10.4,,,45.0,600.0,2400.0,120
3287,RECORDED,80018870,SEN,,A,3287,,SEN,,1978-11-02 00:00:00,1985-10-23 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.323,15,N,24,0,15.4,0.2687807048071222,15,W,7,0,-15.116666666666667,-0.263835605259805,LINGUERE,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.3185,1.3275,3287,HN,1,10000.0,40.0,9,A3E--,ANALOG,,A,0.0,10.4,,,45.0,600.0,2400.0,120
24155,RECORDED,75006375,SEN,,,24155,,SEN,,,,1A2,,GE75,,1,1.323,15,N,24,0,15.4,0.2687807048071222,15,W,7,0,-15.116666666666667,-0.263835605259805,LINGUERE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3185,1.3275,24155,HJ,1,10000.0,40.0,9,A3E--,ANALOG,5.0,A,0.0,10.4,,,45.0,600.0,2400.0,120
24155,RECORDED,75006375,SEN,,,24155,,SEN,,,,1A2,,GE75,,1,1.323,15,N,24,0,15.4,0.2687807048071222,15,W,7,0,-15.116666666666667,-0.263835605259805,LINGUERE,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3185,1.3275,24155,HN,1,10000.0,40.0,9,A3E--,ANALOG,5.0,A,0.0,10.4,,,45.0,600.0,2400.0,120
3549,RECORDED,80019179,SEN,,A,3549,,SEN,,1978-11-01 00:00:00,1985-10-30 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.368,16,N,0,0,16.0,0.279252680319088,16,W,29,0,-16.483333333333334,-0.2876884383703938,S LOUIS,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.3635000000000002,1.3725,3549,HJ,1,39810.72,46.0,9,A3E--,ANALOG,,A,0.0,19.4,,,125.0,600.0,2400.0,120
3549,RECORDED,80019179,SEN,,A,3549,,SEN,,1978-11-01 00:00:00,1985-10-30 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.368,16,N,0,0,16.0,0.279252680319088,16,W,29,0,-16.483333333333334,-0.2876884383703938,S LOUIS,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.3635000000000002,1.3725,3549,HN,1,39810.72,46.0,9,A3E--,ANALOG,,A,0.0,19.4,,,125.0,600.0,2400.0,120
4298,RECORDED,80020191,SEN,,A,4298,,SEN,,1978-11-01 00:00:00,1986-01-21 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.512,16,N,0,0,16.0,0.279252680319088,16,W,29,0,-16.483333333333334,-0.2876884383703938,S LOUIS,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.5075,1.5165,4298,HJ,1,19952.62,43.0,9,A3E--,ANALOG,,A,0.0,15.1,,,100.0,600.0,2400.0,120
4298,RECORDED,80020191,SEN,,A,4298,,SEN,,1978-11-01 00:00:00,1986-01-21 00:00:00,1A2,31.0,NTFD_RR,RR11.2,1,1.512,16,N,0,0,16.0,0.279252680319088,16,W,29,0,-16.483333333333334,-0.2876884383703938,S LOUIS,,3.0,,,B,ITU,,,RECORDED,False,True,False,,RECORDED,False,,,1979-09-25 00:00:00,1.5075,1.5165,4298,HN,1,19952.62,43.0,9,A3E--,ANALOG,,A,0.0,15.1,,,100.0,600.0,2400.0,120
24614,RECORDED,75006836,SEN,,,24614,,SEN,,,,1A2,,GE75,,1,1.368,16,N,0,0,16.0,0.279252680319088,16,W,29,0,-16.483333333333334,-0.2876884383703938,S LOUIS,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3635000000000002,1.3725,24614,HJ,1,40000.0,46.0206,9,A3E--,ANALOG,5.0,A,0.0,19.4,,,125.0,600.0,2400.0,120
24614,RECORDED,75006836,SEN,,,24614,,SEN,,,,1A2,,GE75,,1,1.368,16,N,0,0,16.0,0.279252680319088,16,W,29,0,-16.483333333333334,-0.2876884383703938,S LOUIS,,3.0,,,B,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.3635000000000002,1.3725,24614,HN,1,40000.0,46.0206,9,A3E--,ANALOG,5.0,A,0.0,19.4,,,125.0,600.0,2400.0,120
