site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
DOUALA,2343530,4.05,9.66666666666666,,20000.0,5.062
DOUALA,2343669,4.05,9.66666666666666,,24000.0,6.84
DOUALA,2343725,4.05,9.66666666666666,,30800.0,7.752
DOUALA,2343726,4.05,9.66666666666666,,27800.0,7.752
DOUALA,2343767,4.05,9.66666666666666,,27000.0,7.974
DOUALA,2343768,4.05,9.66666666666666,,27000.0,7.974
DOUALA,2343769,4.05,9.66666666666666,,27000.0,7.983
DOUALA,2343782,4.05,9.66666666666666,,24000.0,8.0
DOUALA,2343840,4.05,9.66666666666666,,27000.0,9.175
DOUALA,2343854,4.05,9.66666666666666,,30000.0,9.87
DOUALA,2343855,4.05,9.66666666666666,,27000.0,9.87
DOUALA,2343043,4.05,9.68333333333333,,19000.0,0.2919
DOUALA,2343224,4.05,9.68333333333333,,13000.0,168.5
DOUALA,2343226,4.05,9.68333333333333,,17000.0,169.0
DOUALA,2343078,4.06666666666666,9.68333333333333,,30000.0,10.33
DOUALA,2343082,4.06666666666666,9.68333333333333,,30000.0,10.536
DOUALA,2343108,4.06666666666666,9.68333333333333,,30000.0,11.443
DOUALA,2343110,4.06666666666666,9.68333333333333,,27000.0,11.53
DOUALA,2343573,4.06666666666666,9.68333333333333,,20000.0,5.35
DOUALA,2343685,4.06666666666666,9.68333333333333,,31800.0,7.312
DOUALA,2343754,4.06666666666666,9.68333333333333,,30000.0,7.8875
DOUALA,2343792,4.06666666666666,9.68333333333333,,30000.0,8.055
DOUALA,2343793,4.06666666666666,9.68333333333333,,30000.0,8.055
DOUALA,2343806,4.06666666666666,9.68333333333333,,29000.0,8.449
DOUALA,2343059,4.03333333333333,9.7,,30000.0,0.438
DOUALA,2343060,4.03333333333333,9.7,,30000.0,0.519
DOUALA,2343062,4.03333333333333,9.7,,20000.0,1.813
DOUALA,2343065,4.03333333333333,9.7,,20000.0,1.911
DOUALA,2343114,4.03333333333333,9.7,,33000.0,11.608
DOUALA,2343114,4.03333333333333,9.7,,33000.0,11.608
DOUALA,2343115,4.03333333333333,9.7,,33000.0,11.616
DOUALA,2343115,4.03333333333333,9.7,,33000.0,11.616
DOUALA,2343116,4.03333333333333,9.7,,33000.0,11.616
DOUALA,2343116,4.03333333333333,9.7,,33000.0,11.616
DOUALA,2343148,4.03333333333333,9.7,,33000.0,12.3
DOUALA,2343150,4.03333333333333,9.7,,29000.0,13.0695
DOUALA,2343272,4.03333333333333,9.7,,20000.0,2.586
DOUALA,2343380,4.03333333333333,9.7,,30000.0,3.516
DOUALA,2343401,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343401,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343402,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343402,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343403,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343403,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343404,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343404,4.03333333333333,9.7,,33000.0,3.609
DOUALA,2343452,4.03333333333333,9.7,,33000.0,3.837
DOUALA,2343452,4.03333333333333,9.7,,33000.0,3.837
DOUALA,2343453,4.03333333333333,9.7,,33000.0,3.837
DOUALA,2343453,4.03333333333333,9.7,,33000.0,3.837
DOUALA,2343454,4.03333333333333,9.7,,33000.0,3.837
DOUALA,2343455,4.03333333333333,9.7,,33000.0,3.837
DOUALA,2343525,4.03333333333333,9.7,,37800.0,5.02
DOUALA,2343526,4.03333333333333,9.7,,37800.0,5.02
DOUALA,2343527,4.03333333333333,9.7,,37800.0,5.02
DOUALA,2343528,4.03333333333333,9.7,,37800.0,5.02
DOUALA,2343552,4.03333333333333,9.7,,37800.0,5.185
DOUALA,2343552,4.03333333333333,9.7,,37800.0,5.185
DOUALA,2343553,4.03333333333333,9.7,,37800.0,5.185
DOUALA,2343553,4.03333333333333,9.7,,37800.0,5.185
DOUALA,2343554,4.03333333333333,9.7,,37800.0,5.185
DOUALA,2343555,4.03333333333333,9.7,,37800.0,5.185
DOUALA,2343716,4.03333333333333,9.7,,37800.0,7.676
DOUALA,2343717,4.03333333333333,9.7,,37800.0,7.676
DOUALA,2343795,4.03333333333333,9.7,,33000.0,8.1
DOUALA,2343057,4.01666666666666,9.71666666666666,,17000.0,0.3985
DOUALA,2343080,4.01666666666666,9.71666666666666,,30000.0,10.4
DOUALA,2343081,4.01666666666666,9.71666666666666,,30000.0,10.47
DOUALA,2343083,4.01666666666666,9.71666666666666,,27000.0,10.605
DOUALA,2343086,4.01666666666666,9.71666666666666,,27000.0,10.872
DOUALA,2343088,4.01666666666666,9.71666666666666,,37000.0,11.12
DOUALA,2343089,4.01666666666666,9.71666666666666,,37000.0,11.16
DOUALA,2343090,4.01666666666666,9.71666666666666,,30000.0,11.19
DOUALA,2343091,4.01666666666666,9.71666666666666,,30000.0,11.19
DOUALA,2343092,4.01666666666666,9.71666666666666,,30000.0,11.19
DOUALA,2343093,4.01666666666666,9.71666666666666,,30000.0,11.209
DOUALA,2343094,4.01666666666666,9.71666666666666,,30000.0,11.209
DOUALA,2343095,4.01666666666666,9.71666666666666,,30000.0,11.209
DOUALA,2343109,4.01666666666666,9.71666666666666,,27000.0,11.5
DOUALA,2343117,4.01666666666666,9.71666666666666,,37000.0,11.63
DOUALA,2343118,4.01666666666666,9.71666666666666,,27000.0,11.63
DOUALA,2343149,4.01666666666666,9.71666666666666,,17000.0,120.3
DOUALA,2343153,4.01666666666666,9.71666666666666,,30000.0,13.2155
DOUALA,2343154,4.01666666666666,9.71666666666666,,30000.0,13.2155
DOUALA,2343155,4.01666666666666,9.71666666666666,,30000.0,13.2155
DOUALA,2343156,4.01666666666666,9.71666666666666,,24800.0,13.2255
DOUALA,2343157,4.01666666666666,9.71666666666666,,24800.0,13.2255
DOUALA,2343158,4.01666666666666,9.71666666666666,,24800.0,13.2255
DOUALA,2343159,4.01666666666666,9.71666666666666,,30000.0,13.2355
DOUALA,2343160,4.01666666666666,9.71666666666666,,30000.0,13.2355
DOUALA,2343161,4.01666666666666,9.71666666666666,,30000.0,13.2355
DOUALA,2343165,4.01666666666666,9.71666666666666,,29000.0,13.367
DOUALA,2343178,4.01666666666666,9.71666666666666,,37000.0,13.65
DOUALA,2343179,4.01666666666666,9.71666666666666,,37000.0,13.655
DOUALA,2343180,4.01666666666666,9.71666666666666,,40000.0,13.83
DOUALA,2343181,4.01666666666666,9.71666666666666,,40000.0,13.83
DOUALA,2343182,4.01666666666666,9.71666666666666,,34800.0,13.845
DOUALA,2343183,4.01666666666666,9.71666666666666,,34800.0,13.845
DOUALA,2343184,4.01666666666666,9.71666666666666,,34800.0,13.845
DOUALA,2343188,4.01666666666666,9.71666666666666,,30000.0,15.036
DOUALA,2343189,4.01666666666666,9.71666666666666,,30000.0,15.036
DOUALA,2343190,4.01666666666666,9.71666666666666,,30000.0,15.036
DOUALA,2343191,4.01666666666666,9.71666666666666,,30000.0,15.066
DOUALA,2343193,4.01666666666666,9.71666666666666,,30200.0,15.066
DOUALA,2343195,4.01666666666666,9.71666666666666,,30000.0,15.066
DOUALA,2343206,4.01666666666666,9.71666666666666,,34800.0,16.125
DOUALA,2343207,4.01666666666666,9.71666666666666,,34800.0,16.125
DOUALA,2343208,4.01666666666666,9.71666666666666,,37000.0,16.165
DOUALA,2343209,4.01666666666666,9.71666666666666,,34800.0,16.28
DOUALA,2343210,4.01666666666666,9.71666666666666,,34800.0,16.28
DOUALA,2343211,4.01666666666666,9.71666666666666,,34800.0,16.28
DOUALA,2343229,4.01666666666666,9.71666666666666,,29000.0,17.375
DOUALA,2343233,4.01666666666666,9.71666666666666,,30000.0,17.9935
DOUALA,2343234,4.01666666666666,9.71666666666666,,30000.0,17.9935
DOUALA,2343235,4.01666666666666,9.71666666666666,,30000.0,17.9935
DOUALA,2343245,4.01666666666666,9.71666666666666,,30000.0,18.0135
DOUALA,2343246,4.01666666666666,9.71666666666666,,30000.0,18.0135
DOUALA,2343247,4.01666666666666,9.71666666666666,,30000.0,18.0135
DOUALA,2343293,4.01666666666666,9.71666666666666,,34800.0,20.805
DOUALA,2343294,4.01666666666666,9.71666666666666,,34800.0,20.805
DOUALA,2343296,4.01666666666666,9.71666666666666,,34800.0,20.865
