terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
92409888,RECORDED,NOT MODIFY,GE84,121010391,AKLAKOU,,T01,TGO,TGO,RADIO ATLANTIC,RADIO ATLANTIC,,,,,2022-01-31 00:00:00,,,1,95.9,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,47,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,AKLAKOU,1,E,42,16.0,6,N,19,51.0,1.7044444444444444,6.3308333333333335,0.0297481674728806,0.1104938860616724,24.0,75.37947082519531,75.37947082519531,,2022-09-06 00:00:00,NOTIFIER,2023-02-05 04:07:33,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,95.8,96.0,1
90800055,RECORDED,,GE06D,106503248,TGO_026,,DS1,TGO,TGO,90800055,,,,,,2006-06-07 00:00:00,,,1,202.928,,,,,,,,,,BC,,,X7EXF,1536,100.0,800,20.0,100.0,,,20.0,0.1,,,v,D,0.0,,ALEDJO,1,E,12,0.0,9,N,15,0.0,1.2,9.25,0.0209439510239316,0.1614429558094727,700.0,,,,2006-06-08 00:00:00,ITU,2019-03-03 02:47:52,,RECORDED,RECORDED,False,True,False,True,False,,,1.0,S,False,False,,,,1,,RPC4,9A,,,202.16,203.696,0
92409874,RECORDED,NOT MODIFY,GE84,121010377,ALEJO1,,T01,TGO,TGO,RADIO LOME ALEJO,RADIO LOME ALEJO,,,,,2022-01-31 00:00:00,,,1,92.7,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,395,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,ALEJO,1,E,12,21.0,9,N,15,10.0,1.205833333333333,9.252777777777778,0.0210457618969646,0.1614914371775837,798.0,71.90154266357422,72.32879638671875,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 03:48:30,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,92.6,92.8,1
92409875,RECORDED,NOT MODIFY,GE84,121010378,ALEJO2,,T01,TGO,TGO,RFI,RFI,,,,,2022-01-31 00:00:00,,,1,98.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,25.0,395,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,ALEJO,1,E,12,21.0,9,N,15,10.0,1.205833333333333,9.252777777777778,0.0210457618969646,0.1614914371775837,798.0,65.22486877441406,68.00481414794922,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 06:48:45,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,98.2,98.4,1
92409873,RECORDED,NOT MODIFY,GE84,121010376,ALEJO,,T01,TGO,TGO,RADIO KARA ALEJO,RADIO KARA ALEJO,,,,,2022-01-31 00:00:00,,,1,99.5,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,390,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,ALEJO,1,E,12,21.0,9,N,15,10.0,1.205833333333333,9.252777777777778,0.0210457618969646,0.1614914371775837,798.0,84.87469482421875,84.87469482421875,,2022-09-06 00:00:00,NOTIFIER,2022-09-03 07:00:57,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,99.4,99.6,1
92409910,RECORDED,NOT MODIFY,GE84,121010413,AMLAME,,T01,TGO,TGO,RADIO ITESSI,RADIO ITESSI,,,,,2022-01-31 00:00:00,,,1,105.3,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,106,20.0,100.0,20.0,0.1,,,,,h,ND,0.0,,AMLAME,0,E,54,4.0,7,N,27,42.0,0.9011111111111112,7.461666666666667,0.015727355815193,0.1302306510196413,303.0,66.81661224365234,69.14800262451172,,2022-09-06 00:00:00,NOTIFIER,2022-10-29 11:20:41,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,105.2,105.4,1
92409832,RECORDED,NOT MODIFY,GE84,121010335,ANEHO,,T01,TGO,TGO,RADIO RTDS,RADIO RTDS,,,,,2021-02-15 00:00:00,,,1,95.1,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,32,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,ANEHO,1,E,35,50.0,6,N,13,41.0,1.5972222222222223,6.228055555555556,0.0278767866637978,0.1087000754415672,7.0,76.10188293457031,76.10188293457031,,2022-11-01 00:00:00,NOTIFIER,2023-02-05 03:41:29,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,95.0,95.2,1
92409833,RECORDED,NOT MODIFY,GE84,121010336,ANEHO1,,T01,TGO,TGO,RADIO LUMIERE,RADIO LUMIERE,,,,,2021-02-15 00:00:00,,,1,96.7,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,31,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,ANEHO,1,E,36,1.0,6,N,14,1.0,1.600277777777778,6.233611111111111,0.0279301161687198,0.1087970381777891,6.0,74.48748779296875,74.48950958251953,,2022-11-01 00:00:00,NOTIFIER,2023-02-05 04:32:31,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,96.6,96.8,1
92409834,RECORDED,NOT MODIFY,GE84,121010337,ANEHO2,,T01,TGO,TGO,RADIO OCEAN,RADIO OCEAN,,,,,2021-02-15 00:00:00,,,1,107.7,,,,NORMAL,,,,,,BC,4,,F8EHF,200,25.0,32,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,ANEHO,1,E,35,41.0,6,N,13,51.0,1.5947222222222224,6.230833333333334,0.0278331534324979,0.1087485568096782,7.0,64.70928955078125,64.7125244140625,,2022-11-01 00:00:00,NOTIFIER,2024-02-03 16:14:21,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,107.6,107.8,1
92540784,RECORDED,NOT MODIFY,GE84,122010271,ANEHO FLEX,,T01,TGO,TGO,FLEX,FLEX,,,,,2022-01-31 00:00:00,,,1,104.9,,,,NORMAL,,,,,,BC,4,,F8EHF,200,20.0,32,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,ANEHO3,1,E,35,50.0,6,N,13,41.0,1.5972222222222223,6.228055555555556,0.0278767866637978,0.1087000754415672,7.0,71.60748291015625,71.6841049194336,,2022-09-06 00:00:00,NOTIFIER,2024-02-03 13:38:16,,RECORDED,RECORDED,False,True,False,False,True,2022-08-01 00:00:00,,,,False,False,,,,,,,,,,104.8,105.0,1
