terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
5687504,RECORDED,NOT MODIFY,NTFD_RR,113115565,,,TB2,BEN,BEN,5687504,,A,16.0,,2012-09-10 00:00:00,2013-07-26 00:00:00,,RR11.2,1,102.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,85.0,279,38.0,6309.573444801933,,,38.0,6.309573444801933,,,v,D,0.0,,ABOMEY,1,E,58,0.0,7,N,10,0.0,1.9666666666666668,7.166666666666667,0.0343248086225545,0.1250819297262581,194.0,,,,2013-07-26 00:00:00,NOTIFIER,2013-09-25 11:17:14,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,102.75,103.05,0
81200159,RECORDED,,GE06D,106503834,BEN_084108101_1,,DS1,BEN,BEN,81200159,,,,,,2006-06-07 00:00:00,,,1,209.936,,,,,,,,,,BC,,,X7EXF,1536,75.0,300,25.0,316.2277660168379,25.0,0.3162277660168379,,,,,h,D,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,215.0,,,,2006-06-08 00:00:00,ITU,2019-03-03 02:46:55,,RECORDED,RECORDED,False,True,False,True,False,,,1.0,S,False,False,,,,1,,RPC5,10A,,,209.168,210.704,0
81200161,RECORDED,,GE06D,106504072,BEN_084108101_3,,DS1,BEN,BEN,81200161,,,,,,2006-06-07 00:00:00,,,1,211.648,,,,,,,,,,BC,,,X7EXF,1536,75.0,300,25.0,316.2277660168379,25.0,0.3162277660168379,,,,,h,D,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,215.0,,,,2006-06-08 00:00:00,ITU,2019-03-03 02:46:55,,RECORDED,RECORDED,False,True,False,True,False,,,1.0,S,False,False,,,,1,,RPC5,10B,,,210.88,212.416,0
81200160,RECORDED,,GE06D,106506827,BEN_084108101_2,,DS1,BEN,BEN,81200160,,,,,,2006-06-07 00:00:00,,,1,223.936,,,,,,,,,,BC,,,X7EXF,1536,75.0,300,25.0,316.2277660168379,25.0,0.3162277660168379,,,,,h,D,0.0,,ABOMEY,1,E,59,0.0,7,N,11,0.0,1.9833333333333332,7.183333333333334,0.0346156968312202,0.1253728179349238,215.0,,,,2006-06-08 00:00:00,ITU,2019-03-03 02:46:55,,RECORDED,RECORDED,False,True,False,True,False,,,1.0,S,False,False,,,,1,,RPC5,12A,,,223.168,224.704,0
92534422,RECORDED,MINOR,GE84,84108091,BEN12_CALAVI_90,,T01,BEN,BEN,92534422,,,,,,2010-05-10 00:00:00,,,1,90.0,,,,NORMAL,,,,,,BC,4,,F8EHF,300,60.0,59,30.0,1000.0,,,30.0,1.0,,,v,ND,0.0,,ABOMEY CALAVI,2,E,25,0.0,6,N,30,0.0,2.4166666666666665,6.5,0.0421787902565289,0.1134464013796295,-1.0,70.68843841552734,70.8590316772461,,2011-03-08 00:00:00,NOTIFIER,2022-10-29 02:19:41,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,89.85,90.15,1
5687573,RECORDED,NOT MODIFY,NTFD_RR,113115634,,,TB2,BEN,BEN,5687573,,A,8.0,,2012-09-10 00:00:00,2013-07-26 00:00:00,,RR11.2,1,90.0,,,,NORMAL,,,,,,BC,4,,F8EHF,300,210.0,230,45.0,31622.776601683796,,,45.0,31.622776601683796,,,v,D,0.0,,ABOMEY CALAVI,2,E,25,0.0,6,N,30,0.0,2.4166666666666665,6.5,0.0421787902565289,0.1134464013796295,20.0,,,,2013-07-26 00:00:00,NOTIFIER,2013-09-25 11:17:14,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,89.85,90.15,0
92534417,RECORDED,MINOR,GE84,84042230,BEN07_CALAVI_91.7,,T01,BEN,BEN,92534417,,,,,,1984-12-07 00:00:00,,,1,91.7,,,,NORMAL,,,,,,BC,4,,F8EHF,300,50.0,49,35.0,3162.2776601683795,35.0,3.1622776601683795,,,,,h,ND,0.0,,ABOMEY CALAVI,2,E,25,0.0,6,N,30,0.0,2.4166666666666665,6.5,0.0421787902565289,0.1134464013796295,-1.0,63.065,82.32173919677734,,1984-12-07 00:00:00,NOTIFIER,2022-10-29 03:15:23,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,91.55,91.85,1
5130345,RECORDED,NOT MODIFY,NTFD_RR,110044328,,,TB2,BEN,BEN,5130345,,B,,,2010-05-01 00:00:00,2010-05-09 00:00:00,,RR11.2,1,91.7,,,,NORMAL,,,,,,BC,4,,F8EHF,300,0.0,300,47.0,50118.72336272722,47.0,50.11872336272722,,,,,h,ND,0.0,,ABOMEY CALAVI,2,E,25,0.0,6,N,30,0.0,2.4166666666666665,6.5,0.0421787902565289,0.1134464013796295,0.0,,,,2010-05-09 00:00:00,NOTIFIER,2013-05-29 11:18:56,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,91.55,91.85,1
92534399,RECORDED,NOT MODIFY,GE84,122002576,BEN_AB-CALAVI_93.6,,T01,BEN,BEN,92534399,,,,,,2022-01-28 00:00:00,,,1,93.6,,,,NORMAL,,,,,,BC,4,,F8EHF,300,50.0,74,27.0,501.18723362727235,,,27.0,0.5011872336272724,,,v,ND,0.0,,ABOMEY CALAVI,2,E,19,10.0,6,N,32,40.0,2.319444444444444,6.544444444444444,0.0404819423726455,0.1142221032694047,32.0,76.6859130859375,76.6859130859375,,2022-11-01 00:00:00,NOTIFIER,2022-10-29 04:15:38,,RECORDED,RECORDED,False,True,False,False,True,2022-09-21 00:00:00,,,,False,False,,,,,,,,,,93.45,93.75,1
92534418,RECORDED,MINOR,GE84,84042231,BEN08_CALAVI_94.7,,T01,BEN,BEN,92534418,,,,,,1984-12-07 00:00:00,,,1,94.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,50.0,49,35.0,3162.2776601683795,35.0,3.1622776601683795,,,,,h,ND,0.0,,ABOMEY CALAVI,2,E,25,0.0,6,N,30,0.0,2.4166666666666665,6.5,0.0421787902565289,0.1134464013796295,-1.0,63.083,79.42402648925781,,1984-12-07 00:00:00,NOTIFIER,2022-10-29 04:55:43,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,94.75,95.05,1
