terrakey,intent,mod_type,fragment,assgn_id,adm_ref_id,plan_adm_ref_id,notice_typ,adm,ctry,network,stn_id,addr_code,op_agcy,d_adm_ntc,d_inuse,d_rcv,d_expiry,prov,region,transmitter.frq,freq_vcarr,freq_scarr,tv_chan,freq_stabl,oset_v_12,oset_v_khz,oset_s_12,oset_s_khz,offset_khz,stn_cls,tran_sys,color,emi_cls,bdwdth,transmitter.alt,eff_hgtmax,erp_dbw,transmitter.txw,erp_h_dbw,erp_h_kw,erp_v_dbw,erp_v_kw,erp_beam_tilt_dbw,beam_tilt_angle,antenna.pol,ant_dir,antenna.azi,pwr_ratio,site,long_deg,long_ew,long_min,long_sec,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lon,transmitter.lat,long_rdn,lat_rdn,site_alt,eu_ref,eu,fdg_observ,d_recog,src_notice,d_updated,src_update,stage,amend_type,is_notice,is_public,is_resub,is_digital,is_pub_req,d_pub_req,target,plan_entry,assgn_code,are_rmk_conds_met,has_signed_commitment,sfn_id,assoc_allot_id,assoc_allot_sfn_id,spect_mask,rx_mode,ref_plan_cfg,freq_block,pwr_dens,pwr_dens_reference,freq_min,freq_max,antenna.ant
92534304,RECORDED,MAJOR,GE84,115030665,2015-15,,T01,BDI,BDI,92534304,,,,,,2022-01-28 00:00:00,,,1,94.0,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,99.24496459960938,99.24496459960938,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 06:18:17,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,93.85,94.15,1
92169849,RECORDED,NOT MODIFY,NTFD_RR,120047013,2015-15,2015-15,TB2,BDI,BDI,92169849,,A,6.0,,2012-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,94.0,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,24.0,251.188643150958,24.0,0.251188643150958,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,93.91,94.09,0
92534305,RECORDED,MAJOR,GE84,115030666,2015-16,,T01,BDI,BDI,92534305,,,,,,2022-01-28 00:00:00,,,1,94.3,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,116.76557159423828,116.76557159423828,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 06:37:03,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,94.15,94.45,1
92169851,RECORDED,NOT MODIFY,NTFD_RR,120047015,2015-16,2015-16,TB2,BDI,BDI,92169851,,A,6.0,,2010-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,94.3,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.0,100.0,20.0,0.1,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,94.21,94.39,0
92534306,RECORDED,MAJOR,GE84,115030667,2015-17,,T01,BDI,BDI,92534306,,,,,,2022-01-28 00:00:00,,,1,94.6,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,102.08795166015624,102.08795166015624,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 06:54:07,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,94.45,94.75,1
92169852,RECORDED,NOT MODIFY,NTFD_RR,120047016,2015-17,2015-17,TB2,BDI,BDI,92169852,,A,6.0,,2018-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,94.6,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.0,100.0,20.0,0.1,,,,,h,D,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,94.51,94.69,0
92534375,RECORDED,MAJOR,GE84,120238558,BUJ94.9-2020,,T01,BDI,BDI,92534375,,,,,,2022-01-28 00:00:00,,,1,94.9,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,48,25.0,316.2277660168379,,,25.0,0.3162277660168379,,,v,ND,0.0,,BUJUMBURA,29,E,21,28.0,3,S,23,18.0,29.35777777777778,-3.388333333333333,0.5123898832910377,-0.0591375728217401,790.0,91.9804229736328,91.9804229736328,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 07:13:41,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,94.75,95.05,1
92534281,RECORDED,MAJOR,GE84,84108069,BUJ-96.1-2021,,T01,BDI,BDI,92534281,,,,,,2022-01-28 00:00:00,,,1,96.1,,,,NORMAL,,,,,,BC,4,,F8EHF,300,30.0,46,20.0,100.0,,,20.0,0.1,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,78.27552032470703,78.27552032470703,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 08:26:54,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,95.95,96.25,1
92169855,RECORDED,NOT MODIFY,NTFD_RR,120047019,,,TB2,BDI,BDI,92169855,,A,6.0,,2000-01-01 00:00:00,2020-03-03 00:00:00,,RR11.2,1,96.1,,,,NORMAL,,,,,,BC,1,,F3EGN,180,75.0,75,20.9,123.02687708123811,20.9,0.1230268770812381,,,,,h,ND,0.0,,BUJUMBURA,29,E,21,0.0,3,S,23,0.0,29.35,-3.3833333333333333,0.512254135460327,-0.0590503063591404,780.0,,,,2020-03-03 00:00:00,NOTIFIER,2020-04-21 15:40:00,,RECORDED,RECORDED,False,True,False,False,False,,,,,False,False,,,,,,,,,,96.01,96.19,1
92534308,RECORDED,MAJOR,GE84,115030669,2015-18,,T01,BDI,BDI,92534308,,,,,,2022-01-28 00:00:00,,,1,96.8,,,,NORMAL,,,,,,BC,4,,F8EHF,300,35.0,51,27.0,501.18723362727235,,,27.0,0.5011872336272724,,,v,ND,0.0,,BUJUMBURA,29,E,21,17.0,3,S,23,13.0,29.354722222222225,-3.3869444444444445,0.5123365537861158,-0.0591133321376847,783.0,91.96640014648438,91.96640014648438,,2024-05-28 00:00:00,NOTIFIER,2024-08-25 09:06:55,,RECORDED,RECORDED,False,True,False,False,True,2024-04-03 00:00:00,,,,False,False,,,,,,,,,,96.65,96.95,1
